InstanceCode	DateTime(UTC)	ResolutionCode	AreaCode	AreaDisplayName	AreaTypeCode	MapCode	ContractType	Sequence	Price[Currency/MWh]	Currency	UpdateTime(UTC)
16f5b4bd40d5c632b78446205b5496af	2025-10-02 04:00:00	PT15M	10YDK-1--------W	DK1	BZN	DK1	Day-ahead	 	89.3	EUR	2025-10-01 11:12:10
16f5b4bd40d5c632b78446205b5496af	2025-10-02 04:15:00	PT15M	10YDK-1--------W	DK1	BZN	DK1	Day-ahead	 	112.72	EUR	2025-10-01 11:12:10
16f5b4bd40d5c632b78446205b5496af	2025-10-02 04:30:00	PT15M	10YDK-1--------W	DK1	BZN	DK1	Day-ahead	 	125.13	EUR	2025-10-01 11:12:10
16f5b4bd40d5c632b78446205b5496af	2025-10-02 04:45:00	PT15M	10YDK-1--------W	DK1	BZN	DK1	Day-ahead	 	158.08	EUR	2025-10-01 11:12:10
16f5b4bd40d5c632b78446205b5496af	2025-10-02 05:00:00	PT15M	10YDK-1--------W	DK1	BZN	DK1	Day-ahead	 	139.79	EUR	2025-10-01 11:12:10
16f5b4bd40d5c632b78446205b5496af	2025-10-02 05:15:00	PT15M	10YDK-1--------W	DK1	BZN	DK1	Day-ahead	 	174.57	EUR	2025-10-01 11:12:10
16f5b4bd40d5c632b78446205b5496af	2025-10-02 05:30:00	PT15M	10YDK-1--------W	DK1	BZN	DK1	Day-ahead	 	175.36	EUR	2025-10-01 11:12:10
16f5b4bd40d5c632b78446205b5496af	2025-10-02 05:45:00	PT15M	10YDK-1--------W	DK1	BZN	DK1	Day-ahead	 	159.2	EUR	2025-10-01 11:12:10
16f5b4bd40d5c632b78446205b5496af	2025-10-02 06:00:00	PT15M	10YDK-1--------W	DK1	BZN	DK1	Day-ahead	 	180.24	EUR	2025-10-01 11:12:10
16f5b4bd40d5c632b78446205b5496af	2025-10-02 06:15:00	PT15M	10YDK-1--------W	DK1	BZN	DK1	Day-ahead	 	150.54	EUR	2025-10-01 11:12:10
16f5b4bd40d5c632b78446205b5496af	2025-10-02 06:30:00	PT15M	10YDK-1--------W	DK1	BZN	DK1	Day-ahead	 	115.27	EUR	2025-10-01 11:12:10
16f5b4bd40d5c632b78446205b5496af	2025-10-02 06:45:00	PT15M	10YDK-1--------W	DK1	BZN	DK1	Day-ahead	 	90.81	EUR	2025-10-01 11:12:10
16f5b4bd40d5c632b78446205b5496af	2025-10-02 07:00:00	PT15M	10YDK-1--------W	DK1	BZN	DK1	Day-ahead	 	123.28	EUR	2025-10-01 11:12:10
16f5b4bd40d5c632b78446205b5496af	2025-10-02 07:15:00	PT15M	10YDK-1--------W	DK1	BZN	DK1	Day-ahead	 	112.8	EUR	2025-10-01 11:12:10
16f5b4bd40d5c632b78446205b5496af	2025-10-02 07:30:00	PT15M	10YDK-1--------W	DK1	BZN	DK1	Day-ahead	 	92.01	EUR	2025-10-01 11:12:10
16f5b4bd40d5c632b78446205b5496af	2025-10-02 07:45:00	PT15M	10YDK-1--------W	DK1	BZN	DK1	Day-ahead	 	74.8	EUR	2025-10-01 11:12:10
16f5b4bd40d5c632b78446205b5496af	2025-10-02 08:00:00	PT15M	10YDK-1--------W	DK1	BZN	DK1	Day-ahead	 	101.95	EUR	2025-10-01 11:12:10
16f5b4bd40d5c632b78446205b5496af	2025-10-02 08:15:00	PT15M	10YDK-1--------W	DK1	BZN	DK1	Day-ahead	 	99.97	EUR	2025-10-01 11:12:10
16f5b4bd40d5c632b78446205b5496af	2025-10-02 08:30:00	PT15M	10YDK-1--------W	DK1	BZN	DK1	Day-ahead	 	86.08	EUR	2025-10-01 11:12:10
16f5b4bd40d5c632b78446205b5496af	2025-10-02 08:45:00	PT15M	10YDK-1--------W	DK1	BZN	DK1	Day-ahead	 	77.92	EUR	2025-10-01 11:12:10
16f5b4bd40d5c632b78446205b5496af	2025-10-02 09:00:00	PT15M	10YDK-1--------W	DK1	BZN	DK1	Day-ahead	 	91.75	EUR	2025-10-01 11:12:10
16f5b4bd40d5c632b78446205b5496af	2025-10-02 09:15:00	PT15M	10YDK-1--------W	DK1	BZN	DK1	Day-ahead	 	83.31	EUR	2025-10-01 11:12:10
16f5b4bd40d5c632b78446205b5496af	2025-10-02 09:30:00	PT15M	10YDK-1--------W	DK1	BZN	DK1	Day-ahead	 	72.08	EUR	2025-10-01 11:12:10
16f5b4bd40d5c632b78446205b5496af	2025-10-02 09:45:00	PT15M	10YDK-1--------W	DK1	BZN	DK1	Day-ahead	 	66	EUR	2025-10-01 11:12:10
16f5b4bd40d5c632b78446205b5496af	2025-10-02 10:00:00	PT15M	10YDK-1--------W	DK1	BZN	DK1	Day-ahead	 	70.25	EUR	2025-10-01 11:12:10
16f5b4bd40d5c632b78446205b5496af	2025-10-02 10:15:00	PT15M	10YDK-1--------W	DK1	BZN	DK1	Day-ahead	 	64.35	EUR	2025-10-01 11:12:10
