timestep,HP - air,HP - seawater,HP - heat recovery,electric chiller
T5456,4.53,4.241,2.896,3.74
T5457,4.656,4.241,2.896,3.648
T5458,4.858,4.241,2.896,3.511
T5459,4.991,4.241,2.896,3.427
T5460,5.092,4.241,2.896,3.366
T5461,5.054,4.241,2.896,3.389
T5462,5.003,4.241,2.896,3.42
T5463,4.991,4.241,2.896,3.427
T5464,4.991,4.241,2.896,3.427
T5465,4.991,4.241,2.896,3.427
T5466,4.87,4.241,2.896,3.504
T5467,4.778,4.241,2.896,3.564
T5468,4.624,4.241,2.896,3.671
T5469,4.53,4.241,2.896,3.74
T5470,4.373,4.241,2.896,3.862
T5471,4.401,4.241,2.896,3.839
T5472,4.344,4.241,2.896,3.885
T5473,4.271,4.241,2.896,3.945
T5474,4.199,4.241,2.896,4.006
T5475,4.191,4.241,2.896,4.014
T5476,4.122,4.241,2.896,4.075
T5477,4.113,4.241,2.896,4.083
T5478,4.182,4.241,2.896,4.022
T5479,4.326,4.241,2.896,3.9
T5480,4.46,4.241,2.896,3.793
T5481,4.624,4.241,2.896,3.671
T5482,4.778,4.241,2.896,3.564
T5483,4.966,4.241,2.896,3.443
T5484,5.118,4.241,2.896,3.351
T5485,5.144,4.241,2.896,3.336
T5486,5.131,4.241,2.896,3.344
T5487,5.118,4.241,2.896,3.351
T5488,5.079,4.241,2.896,3.374
T5489,5.016,4.241,2.896,3.412
T5490,4.979,4.241,2.896,3.435
T5491,4.918,4.241,2.896,3.473
T5492,4.733,4.241,2.896,3.595
T5493,4.613,4.241,2.896,3.679
T5494,4.5,4.241,2.896,3.763
T5495,4.382,4.241,2.896,3.854
T5496,4.335,4.241,2.896,3.892
T5497,4.28,4.241,2.896,3.938
T5498,4.217,4.241,2.896,3.991
T5499,4.226,4.241,2.896,3.984
T5500,4.208,4.241,2.896,3.999
T5501,4.208,4.241,2.896,3.999
T5502,4.244,4.241,2.896,3.968
T5503,4.344,4.241,2.896,3.885
T5504,4.47,4.241,2.896,3.785
T5505,4.603,4.241,2.896,3.686
T5506,4.722,4.241,2.896,3.603
T5507,4.766,4.241,2.896,3.572
T5508,4.699,4.241,2.896,3.618
T5509,4.744,4.241,2.896,3.587
T5510,4.778,4.241,2.896,3.564
T5511,4.8,4.241,2.896,3.549
T5512,4.8,4.241,2.896,3.549
T5513,4.766,4.241,2.896,3.572
T5514,4.699,4.241,2.896,3.618
T5515,4.624,4.241,2.896,3.671
T5516,4.592,4.241,2.896,3.694
T5517,4.51,4.241,2.896,3.755
T5518,4.47,4.241,2.896,3.785
T5519,4.411,4.241,2.896,3.831
T5520,4.382,4.241,2.896,3.854
T5521,4.326,4.241,2.896,3.9
T5522,4.28,4.241,2.896,3.938
T5523,4.164,4.241,2.896,4.037
T5524,4.13,4.241,2.896,4.067
T5525,4.191,4.241,2.896,4.014
T5526,4.226,4.241,2.896,3.984
T5527,4.307,4.241,2.896,3.915
T5528,4.354,4.241,2.896,3.877
T5529,4.392,4.241,2.896,3.846
T5530,4.45,4.241,2.896,3.801
T5531,4.551,4.241,2.896,3.725
T5532,4.667,4.241,2.896,3.641
T5533,4.789,4.241,2.896,3.557
T5534,4.8,4.241,2.896,3.549
T5535,4.52,4.241,2.896,3.747
T5536,4.561,4.241,2.896,3.717
T5537,4.46,4.241,2.896,3.793
T5538,4.52,4.241,2.896,3.747
T5539,4.47,4.241,2.896,3.785
T5540,4.411,4.241,2.896,3.831
T5541,4.373,4.241,2.896,3.862
T5542,4.316,4.241,2.896,3.907
T5543,4.28,4.241,2.896,3.938
T5544,4.208,4.241,2.896,3.999
T5545,4.191,4.241,2.896,4.014
T5546,4.122,4.241,2.896,4.075
T5547,4.156,4.241,2.896,4.045
T5548,4.244,4.241,2.896,3.968
T5549,4.289,4.241,2.896,3.93
T5550,4.326,4.241,2.896,3.9
T5551,4.363,4.241,2.896,3.869
T5552,4.411,4.241,2.896,3.831
T5553,4.44,4.241,2.896,3.808
T5554,4.47,4.241,2.896,3.785
T5555,4.54,4.241,2.896,3.732
T5556,4.582,4.241,2.896,3.702
T5557,4.582,4.241,2.896,3.702
T5558,4.603,4.241,2.896,3.686
T5559,4.582,4.241,2.896,3.702
T5560,4.571,4.241,2.896,3.709
T5561,4.48,4.241,2.896,3.778
T5562,4.316,4.241,2.896,3.907
T5563,4.271,4.241,2.896,3.945
T5564,4.28,4.241,2.896,3.938
T5565,4.28,4.241,2.896,3.938
T5566,4.316,4.241,2.896,3.907
T5567,4.335,4.241,2.896,3.892
T5568,4.354,4.241,2.896,3.877
T5569,4.316,4.241,2.896,3.907
T5570,4.244,4.241,2.896,3.968
T5571,4.226,4.241,2.896,3.984
T5572,4.262,4.241,2.896,3.953
T5573,4.244,4.241,2.896,3.968
T5574,4.262,4.241,2.896,3.953
T5575,4.298,4.241,2.896,3.923
T5576,4.335,4.241,2.896,3.892
T5577,4.373,4.241,2.896,3.862
T5578,4.421,4.241,2.896,3.824
T5579,4.44,4.241,2.896,3.808
T5580,4.411,4.241,2.896,3.831
T5581,4.44,4.241,2.896,3.808
T5582,4.45,4.241,2.896,3.801
T5583,4.51,4.241,2.896,3.755
T5584,4.51,4.241,2.896,3.755
T5585,4.592,4.241,2.896,3.694
T5586,4.613,4.241,2.896,3.679
T5587,4.52,4.241,2.896,3.747
T5588,4.46,4.241,2.896,3.793
T5589,4.421,4.241,2.896,3.824
T5590,4.421,4.241,2.896,3.824
T5591,4.354,4.241,2.896,3.877
T5592,4.335,4.241,2.896,3.892
T5593,4.307,4.241,2.896,3.915
T5594,4.289,4.241,2.896,3.93
T5595,4.28,4.241,2.896,3.938
T5596,4.253,4.241,2.896,3.961
T5597,4.235,4.241,2.896,3.976
T5598,4.298,4.241,2.896,3.923
T5599,4.373,4.241,2.896,3.862
T5600,4.401,4.241,2.896,3.839
T5601,4.48,4.241,2.896,3.778
T5602,4.551,4.241,2.896,3.725
T5603,4.551,4.241,2.896,3.725
T5604,4.582,4.241,2.896,3.702
T5605,4.71,4.241,2.896,3.61
T5606,4.744,4.241,2.896,3.587
T5607,4.744,4.241,2.896,3.587
T5608,4.744,4.241,2.896,3.587
T5609,4.667,4.241,2.896,3.641
T5610,4.551,4.241,2.896,3.725
T5611,4.45,4.241,2.896,3.801
