timestep,HOB_EL,HP_AMBIENT,HP_PROCESS,ELECTRIC_CHILLER,FREE_COOLING,HP_RECOVERY
T0417,22.7,28.93,28.93,28.93,28.93,28.93
T0418,22.7,28.93,28.93,28.93,28.93,28.93
T0419,22.7,28.93,28.93,28.93,28.93,28.93
T0420,22.7,28.93,28.93,28.93,28.93,28.93
T0421,22.7,28.93,28.93,28.93,28.93,28.93
T0422,22.7,28.93,28.93,28.93,28.93,28.93
T0423,22.7,28.93,28.93,28.93,28.93,28.93
T0424,22.7,28.93,28.93,28.93,28.93,28.93
T0425,22.7,28.93,28.93,28.93,28.93,28.93
T0426,22.7,28.93,28.93,28.93,28.93,28.93
T0427,22.7,28.93,28.93,28.93,28.93,28.93
T0428,22.7,28.93,28.93,28.93,28.93,28.93
T0429,22.7,28.93,28.93,28.93,28.93,28.93
T0430,20.39,23.5,23.5,23.5,23.5,23.5
T0431,20.39,23.5,23.5,23.5,23.5,23.5
T0432,20.39,23.5,23.5,23.5,23.5,23.5
T0433,19.24,19.9,19.9,19.9,19.9,19.9
T0434,19.24,19.9,19.9,19.9,19.9,19.9
T0435,19.24,19.9,19.9,19.9,19.9,19.9
T0436,19.24,19.9,19.9,19.9,19.9,19.9
T0437,19.24,19.9,19.9,19.9,19.9,19.9
T0438,19.24,19.9,19.9,19.9,19.9,19.9
T0439,22.7,28.93,28.93,28.93,28.93,28.93
T0440,22.7,28.93,28.93,28.93,28.93,28.93
T0441,22.7,28.93,28.93,28.93,28.93,28.93
T0442,22.7,28.93,28.93,28.93,28.93,28.93
T0443,22.7,28.93,28.93,28.93,28.93,28.93
T0444,22.7,28.93,28.93,28.93,28.93,28.93
T0445,22.7,28.93,28.93,28.93,28.93,28.93
T0446,22.7,28.93,28.93,28.93,28.93,28.93
T0447,22.7,28.93,28.93,28.93,28.93,28.93
T0448,22.7,28.93,28.93,28.93,28.93,28.93
T0449,22.7,28.93,28.93,28.93,28.93,28.93
T0450,22.7,28.93,28.93,28.93,28.93,28.93
T0451,22.7,28.93,28.93,28.93,28.93,28.93
T0452,22.7,28.93,28.93,28.93,28.93,28.93
T0453,22.7,28.93,28.93,28.93,28.93,28.93
T0454,20.39,23.5,23.5,23.5,23.5,23.5
T0455,20.39,23.5,23.5,23.5,23.5,23.5
T0456,20.39,23.5,23.5,23.5,23.5,23.5
T0457,19.24,19.9,19.9,19.9,19.9,19.9
T0458,19.24,19.9,19.9,19.9,19.9,19.9
T0459,19.24,19.9,19.9,19.9,19.9,19.9
T0460,19.24,19.9,19.9,19.9,19.9,19.9
T0461,19.24,19.9,19.9,19.9,19.9,19.9
T0462,19.24,19.9,19.9,19.9,19.9,19.9
T0463,22.7,28.93,28.93,28.93,28.93,28.93
T0464,22.7,28.93,28.93,28.93,28.93,28.93
T0465,22.7,28.93,28.93,28.93,28.93,28.93
T0466,22.7,28.93,28.93,28.93,28.93,28.93
T0467,22.7,28.93,28.93,28.93,28.93,28.93
T0468,22.7,28.93,28.93,28.93,28.93,28.93
T0469,22.7,28.93,28.93,28.93,28.93,28.93
T0470,22.7,28.93,28.93,28.93,28.93,28.93
T0471,22.7,28.93,28.93,28.93,28.93,28.93
T0472,22.7,28.93,28.93,28.93,28.93,28.93
T0473,22.7,28.93,28.93,28.93,28.93,28.93
T0474,22.7,28.93,28.93,28.93,28.93,28.93
T0475,22.7,28.93,28.93,28.93,28.93,28.93
T0476,22.7,28.93,28.93,28.93,28.93,28.93
T0477,22.7,28.93,28.93,28.93,28.93,28.93
T0478,20.39,23.5,23.5,23.5,23.5,23.5
T0479,20.39,23.5,23.5,23.5,23.5,23.5
T0480,20.39,23.5,23.5,23.5,23.5,23.5
T0481,19.24,19.9,19.9,19.9,19.9,19.9
T0482,19.24,19.9,19.9,19.9,19.9,19.9
T0483,19.24,19.9,19.9,19.9,19.9,19.9
T0484,19.24,19.9,19.9,19.9,19.9,19.9
T0485,19.24,19.9,19.9,19.9,19.9,19.9
T0486,19.24,19.9,19.9,19.9,19.9,19.9
T0487,22.7,28.93,28.93,28.93,28.93,28.93
T0488,22.7,28.93,28.93,28.93,28.93,28.93
