,AMV1,AMV4,AVV1,AVV2,HCV7,HCV8,SMV1_SMV7,KKV8,ARC,ARGO5,ARGO6,VF5,VF6,HOB_electric,HOB_biogas,HOB_fueloil,HOB_gasoil,HOB_natgas,HOB_pellets,HP_air
T0101,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,46.15854216,68.35,58.795,74.291,79.969,41.44,46.159
T0102,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,46.23739975,68.35,58.795,74.291,79.969,41.44,46.237
T0103,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,43.93481287,68.35,58.795,74.291,79.969,41.44,43.935
T0104,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,44.17071615,68.35,58.795,74.291,79.969,41.44,44.171
T0105,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,45.39960903,68.35,58.795,74.291,79.969,41.44,45.4
T0106,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,48.84056994,68.35,58.795,74.291,79.969,41.44,48.841
T0107,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,51.35923785,68.35,58.795,74.291,79.969,41.44,51.359
T0108,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,50.42941533,68.35,58.795,74.291,79.969,41.44,50.429
T0109,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,46.7056044,68.35,58.795,74.291,79.969,41.44,46.706
T0110,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,44.85417857,68.35,58.795,74.291,79.969,41.44,44.854
T0111,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,46.07115196,68.35,58.795,74.291,79.969,41.44,46.071
T0112,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,50.3283788,68.35,58.795,74.291,79.969,41.44,50.328
T0113,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,39.463244,68.35,58.795,74.291,79.969,41.44,39.463
T0114,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,38.19203186,68.35,58.795,74.291,79.969,41.44,38.192
T0115,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,37.3642502,68.35,58.795,74.291,79.969,41.44,37.364
T0116,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,36.59918292,68.35,58.795,74.291,79.969,41.44,36.599
T0117,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,36.28486805,68.35,58.795,74.291,79.969,41.44,36.285
T0118,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,36.41584289,68.35,58.795,74.291,79.969,41.44,36.416
T0119,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,33.92649926,68.35,58.795,74.291,79.969,41.44,33.926
T0120,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,34.01817217,68.35,58.795,74.291,79.969,41.44,34.018
T0121,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,34.12051096,68.35,58.795,74.291,79.969,41.44,34.121
T0122,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,36.50697073,68.35,58.795,74.291,79.969,41.44,36.507
T0123,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,35.50895904,68.35,58.795,74.291,79.969,41.44,35.509
T0124,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,35.29320818,68.35,58.795,74.291,79.969,41.44,35.293
T0125,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,35.81378731,68.35,58.795,74.291,79.969,41.44,35.814
T0126,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,41.2048257,68.35,58.795,74.291,79.969,41.44,41.205
T0127,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,42.1983428,68.35,58.795,74.291,79.969,41.44,42.198
T0128,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,44.32042122,68.35,58.795,74.291,79.969,41.44,44.32
T0129,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,40.98087392,68.35,58.795,74.291,79.969,41.44,40.981
