,AMV3,AVV1,AVV2,AMV1,AMV4,ARC,ARGO5,ARGO6,HCV7,HCV8,KKV7,KKV8,VF5,VF6,HOB_BG,HOB_EL,HOB_FO,HOB_GO,HOB_NG,HOB_WP,HOB_WW,EH,HP
T6463,8.80,34.92,34.92,34.92,25.86,-19.70,-19.70,-19.70,22.32,22.32,25.86,25.86,-19.70,-19.70,80.40,5.95,29.60,47.22,22.32,34.92,12.07,0.00,5.95
T6464,8.80,34.92,34.92,34.92,25.86,-19.70,-19.70,-19.70,22.32,22.32,25.86,25.86,-19.70,-19.70,80.40,12.51,29.60,47.22,22.32,34.92,12.07,0.00,12.51
T6465,8.80,34.92,34.92,34.92,25.86,-19.70,-19.70,-19.70,22.32,22.32,25.86,25.86,-19.70,-19.70,80.40,17.04,29.60,47.22,22.32,34.92,12.07,0.00,17.04
T6466,8.80,34.92,34.92,34.92,25.86,-19.70,-19.70,-19.70,22.32,22.32,25.86,25.86,-19.70,-19.70,80.40,18.53,29.60,47.22,22.32,34.92,12.07,0.00,18.53
T6467,8.80,34.92,34.92,34.92,25.86,-19.70,-19.70,-19.70,22.32,22.32,25.86,25.86,-19.70,-19.70,80.40,15.30,29.60,47.22,22.32,34.92,12.07,0.00,15.30
T6468,8.80,34.92,34.92,34.92,25.86,-19.70,-19.70,-19.70,22.32,22.32,25.86,25.86,-19.70,-19.70,80.40,14.29,29.60,47.22,22.32,34.92,12.07,0.00,14.29
T6469,8.80,34.92,34.92,34.92,25.86,-19.70,-19.70,-19.70,22.32,22.32,25.86,25.86,-19.70,-19.70,80.40,12.87,29.60,47.22,22.32,34.92,12.07,0.00,12.87
T6470,8.80,34.92,34.92,34.92,25.86,-19.70,-19.70,-19.70,22.32,22.32,25.86,25.86,-19.70,-19.70,80.40,13.13,29.60,47.22,22.32,34.92,12.07,0.00,13.13
T6471,8.80,34.92,34.92,34.92,25.86,-19.70,-19.70,-19.70,22.32,22.32,25.86,25.86,-19.70,-19.70,80.40,15.26,29.60,47.22,22.32,34.92,12.07,0.00,15.26
T6472,8.80,34.92,34.92,34.92,25.86,-19.70,-19.70,-19.70,22.32,22.32,25.86,25.86,-19.70,-19.70,80.40,22.83,29.60,47.22,22.32,34.92,12.07,0.00,22.83
T6473,8.80,34.92,34.92,34.92,25.86,-19.70,-19.70,-19.70,22.32,22.32,25.86,25.86,-19.70,-19.70,80.40,26.42,29.60,47.22,22.32,34.92,12.07,0.00,26.42
T6474,8.80,34.92,34.92,34.92,25.86,-19.70,-19.70,-19.70,22.32,22.32,25.86,25.86,-19.70,-19.70,80.40,26.85,29.60,47.22,22.32,34.92,12.07,0.00,26.85
T6475,8.80,34.92,34.92,34.92,25.86,-19.70,-19.70,-19.70,22.32,22.32,25.86,25.86,-19.70,-19.70,80.40,24.86,29.60,47.22,22.32,34.92,12.07,0.00,24.86
T6476,8.80,34.92,34.92,34.92,25.86,-19.70,-19.70,-19.70,22.32,22.32,25.86,25.86,-19.70,-19.70,80.40,23.83,29.60,47.22,22.32,34.92,12.07,0.00,23.83
